Date,Close,High,Low,Open,Volume
2010-01-04,3243.76,3295.28,3243.32,3289.75,109400
2010-01-05,3282.18,3290.51,3221.46,3254.47,126200
2010-01-06,3254.22,3295.87,3253.04,3277.52,123600
2010-01-07,3192.78,3268.82,3176.71,3253.99,128600
2010-01-08,3196.0,3198.92,3149.02,3177.26,98400
2010-01-11,3212.75,3306.75,3197.33,3301.61,136400
2010-01-12,3273.97,3275.2,3180.08,3205.71,140600
2010-01-13,3172.66,3232.82,3165.49,3204.98,158400
2010-01-14,3215.55,3219.02,3165.59,3183.38,136000
2010-01-15,3224.15,3241.81,3197.22,3217.19,120600
2010-01-18,3237.1,3238.24,3202.21,3213.64,135000
2010-01-19,3246.87,3268.81,3236.84,3242.22,130000
2010-01-20,3151.85,3255.13,3148.33,3252.04,158200
2010-01-21,3158.86,3176.15,3126.9,3154.19,114400
2010-01-22,3128.59,3147.83,3062.63,3118.72,137800
2010-01-25,3094.41,3137.0,3092.93,3103.32,78400
2010-01-26,3019.39,3107.2,3001.96,3094.85,93600
2010-01-27,2986.61,3028.65,2972.63,3020.54,76600
2010-01-28,2994.14,3006.04,2963.89,2985.21,73400
2010-01-29,2989.29,3024.85,2968.45,2979.74,80400
2010-02-01,2941.36,2981.37,2912.89,2981.37,88200
2010-02-02,2934.71,2990.75,2930.56,2955.75,82400
2010-02-03,3003.83,3005.13,2890.02,2945.03,101000
2010-02-04,2995.31,3015.13,2968.68,2983.05,100000
2010-02-05,2939.4,2959.23,2918.91,2936.2,97200
2010-02-08,2935.17,2954.27,2922.19,2936.45,63400
2010-02-09,2948.84,2957.47,2929.21,2932.09,62200
2010-02-10,2982.5,2983.18,2958.22,2967.14,55600
2010-02-11,2985.5,3001.64,2976.08,2985.08,56600
2010-02-12,3018.13,3018.86,2993.44,2996.09,56000
2010-02-22,3003.4,3026.66,3002.81,3016.7,68600
2010-02-23,2982.57,2998.91,2938.75,2998.91,80400
2010-02-24,3022.18,3023.74,2955.07,2964.98,93000
2010-02-25,3060.62,3063.0,3022.37,3026.66,119600
2010-02-26,3051.94,3067.52,3041.69,3053.5,101200
2010-03-01,3087.84,3093.09,3054.55,3057.01,111000
2010-03-02,3073.11,3095.99,3060.96,3089.71,105400
2010-03-03,3097.0,3098.46,3061.47,3074.1,117200
2010-03-04,3023.37,3102.4,3016.22,3098.07,126400
2010-03-05,3031.06,3044.17,3011.09,3026.64,92200
2010-03-08,3053.23,3058.83,3030.91,3036.42,81000
2010-03-09,3069.14,3084.85,3028.69,3053.26,92400
2010-03-10,3048.93,3085.99,3034.74,3067.15,84600
2010-03-11,3051.28,3070.94,3025.31,3050.64,79800
2010-03-12,3013.41,3057.52,3011.97,3051.47,71400
2010-03-15,2976.94,3013.52,2963.49,3010.72,63800
2010-03-16,2992.84,2993.84,2963.44,2974.49,59600
2010-03-17,3050.48,3050.76,2994.89,2999.81,87000
2010-03-18,3046.09,3063.59,3035.02,3053.16,91400
2010-03-19,3067.75,3069.66,3031.02,3046.75,88400
2010-03-22,3074.58,3083.34,3061.76,3069.66,96400
2010-03-23,3053.12,3082.97,3051.21,3076.96,92800
2010-03-24,3056.81,3076.75,3052.21,3058.93,89200
2010-03-25,3019.18,3051.35,3012.31,3051.35,90200
2010-03-26,3059.72,3067.71,3009.91,3017.22,93000
2010-03-29,3123.8,3130.28,3071.69,3076.05,131800
2010-03-30,3128.47,3132.58,3113.77,3123.83,102400
2010-03-31,3109.1,3130.11,3101.76,3129.57,101200
2010-04-01,3147.42,3148.34,3111.94,3111.94,126800
2010-04-02,3157.96,3159.6,3141.87,3154.77,122800
2010-04-06,3158.68,3177.97,3141.93,3170.61,116800
2010-04-07,3148.22,3161.08,3132.24,3156.31,103600
2010-04-08,3118.71,3143.83,3110.26,3143.45,114600
2010-04-09,3145.35,3146.46,3114.79,3118.93,105400
2010-04-12,3129.26,3156.21,3111.9,3151.89,138000
2010-04-13,3161.25,3173.63,3101.48,3129.69,144000
2010-04-14,3166.18,3167.66,3145.55,3161.55,106400
2010-04-15,3164.97,3181.66,3135.99,3168.14,106200
2010-04-16,3130.3,3159.67,3121.36,3159.67,81000
2010-04-19,2980.3,3096.78,2977.77,3096.78,129400
2010-04-20,2979.53,2998.91,2941.35,2980.08,101800
2010-04-21,3033.28,3034.33,2972.1,2984.62,116400
2010-04-22,2999.48,3023.64,2978.46,3021.29,121800
2010-04-23,2983.54,3015.63,2966.78,2995.57,103600
2010-04-26,2969.5,2996.83,2965.83,2988.08,89200
2010-04-27,2907.93,2962.15,2866.34,2962.15,108200
2010-04-28,2900.33,2916.68,2865.47,2883.17,83800
2010-04-29,2868.43,2928.93,2867.94,2912.2,89400
2010-04-30,2870.61,2875.81,2820.95,2867.65,88800
2010-05-04,2835.28,2862.55,2809.13,2821.35,66000
2010-05-05,2857.15,2857.29,2770.33,2804.51,95400
2010-05-06,2739.7,2838.95,2735.0,2838.95,92600
2010-05-07,2688.38,2732.18,2665.81,2685.99,92000
2010-05-10,2698.76,2713.06,2646.59,2690.86,81800
2010-05-11,2647.57,2751.07,2638.53,2745.6,87800
2010-05-12,2655.71,2668.12,2604.2,2628.02,82600
2010-05-13,2710.51,2711.07,2646.9,2653.58,83000
2010-05-14,2696.63,2712.86,2677.19,2692.1,73400
2010-05-17,2559.93,2663.88,2557.24,2663.88,82600
2010-05-18,2594.78,2603.32,2529.62,2555.14,82800
2010-05-19,2587.81,2623.96,2554.98,2581.63,71400
2010-05-20,2555.94,2609.64,2551.45,2571.54,66400
2010-05-21,2583.52,2584.45,2481.97,2492.57,83800
2010-05-24,2673.42,2680.49,2596.32,2596.32,112400
2010-05-25,2622.63,2659.74,2609.09,2654.36,93200
2010-05-26,2625.79,2644.94,2610.51,2620.85,68800
2010-05-27,2655.92,2662.08,2583.55,2615.1,87800
2010-05-28,2655.77,2686.54,2641.41,2680.4,87000
2010-05-31,2592.15,2665.39,2591.53,2647.87,78800
2010-06-01,2568.28,2598.9,2534.27,2577.76,74600
2010-06-02,2571.42,2572.34,2521.06,2548.54,64800
2010-06-03,2552.66,2596.14,2551.53,2575.77,69600
2010-06-04,2553.59,2556.97,2527.87,2536.23,56600
2010-06-07,2511.73,2527.1,2491.66,2508.33,65600
2010-06-08,2513.95,2531.88,2491.65,2510.08,63000
2010-06-09,2583.87,2589.47,2501.12,2523.88,96000
2010-06-10,2562.58,2581.05,2554.79,2561.55,74600
2010-06-11,2569.94,2590.98,2566.62,2574.9,66600
2010-06-17,2560.25,2595.51,2559.72,2588.97,55000
2010-06-18,2513.22,2568.86,2505.33,2556.6,67200
2010-06-21,2586.21,2587.34,2504.31,2517.29,78600
2010-06-22,2588.7,2598.35,2572.96,2579.63,63600
2010-06-23,2569.87,2593.67,2546.52,2576.34,58800
2010-06-24,2566.75,2586.9,2554.34,2563.64,48800
2010-06-25,2552.82,2572.83,2534.27,2556.54,50000
2010-06-28,2535.28,2561.49,2528.39,2550.65,43200
2010-06-29,2427.05,2541.14,2425.93,2534.5,73800
2010-06-30,2398.37,2411.44,2382.36,2409.54,55200
2010-07-01,2373.79,2410.77,2371.78,2393.95,50000
2010-07-02,2382.9,2386.4,2319.74,2371.32,68400
2010-07-05,2363.95,2378.09,2335.57,2358.76,48000
2010-07-06,2409.42,2409.78,2356.55,2358.28,61400
2010-07-07,2421.12,2421.68,2392.57,2407.67,56200
2010-07-08,2415.15,2436.28,2402.0,2429.68,54400
2010-07-09,2470.92,2485.6,2398.68,2416.58,85800
2010-07-12,2490.72,2501.02,2455.81,2468.54,83000
2010-07-13,2450.28,2468.69,2439.24,2468.69,66400
2010-07-14,2470.44,2494.59,2456.1,2456.1,73000
2010-07-15,2424.3,2487.24,2423.65,2465.99,105600
2010-07-16,2424.27,2428.46,2389.07,2414.68,70800
2010-07-19,2475.42,2484.19,2392.27,2399.58,88800
2010-07-20,2528.73,2530.33,2477.46,2477.75,118600
2010-07-21,2535.39,2553.45,2520.15,2529.62,114200
2010-07-22,2562.41,2563.24,2522.2,2525.98,106000
2010-07-23,2572.03,2579.52,2549.24,2566.85,114400
2010-07-26,2588.68,2589.48,2556.47,2576.37,93400
2010-07-27,2575.37,2588.0,2565.64,2581.59,86600
2010-07-28,2633.66,2636.0,2564.16,2574.32,129000
2010-07-29,2648.12,2656.41,2623.94,2635.05,139200
2010-07-30,2637.5,2643.03,2614.73,2642.85,94800
2010-08-02,2672.52,2675.76,2633.65,2635.81,113000
2010-08-03,2627.0,2681.78,2626.72,2678.79,128000
2010-08-04,2638.52,2638.9,2589.99,2620.5,112200
2010-08-05,2620.76,2640.59,2606.62,2636.24,113600
2010-08-06,2658.39,2659.41,2598.91,2618.71,121000
2010-08-09,2672.53,2676.09,2650.4,2656.36,120000
2010-08-10,2595.27,2675.31,2594.34,2672.79,127000
2010-08-11,2607.5,2618.45,2586.02,2587.61,87000
2010-08-12,2575.48,2608.76,2570.96,2584.92,92600
2010-08-13,2606.7,2607.03,2564.84,2576.69,88800
2010-08-16,2661.71,2665.31,2596.77,2603.79,125800
2010-08-17,2671.89,2677.57,2654.01,2663.18,122600
2010-08-18,2666.3,2687.76,2654.41,2674.5,136200
2010-08-19,2687.98,2701.93,2659.3,2669.43,128400
2010-08-20,2642.31,2683.29,2636.91,2677.02,116200
2010-08-23,2639.37,2656.12,2629.71,2637.82,88200
2010-08-24,2650.31,2667.17,2614.56,2636.53,107200
2010-08-25,2596.58,2645.5,2595.73,2634.95,109600
2010-08-26,2603.48,2616.96,2590.61,2604.88,80400
2010-08-27,2610.74,2613.49,2588.64,2602.5,70400
