Date,Close,High,Low,Open,Volume
2021-08-01,3.62,3.9,3.41,3.75,10048978458.0
2021-11-01,3.43,3.69,3.42,3.59,5195625921.0
2022-02-01,3.21,3.69,3.15,3.43,5484128775.0
2022-05-01,3.06,3.23,3.04,3.21,3172467364.0
2022-08-01,3.39,3.43,3.15,3.2,4027724363.0
2022-11-01,4.45,4.55,3.45,3.5,9815927272.0
2023-02-01,5.96,6.69,4.28,4.42,32922677473.0
2023-05-01,5.06,6.24,4.86,5.96,13691812545.0
2023-08-01,4.81,5.64,4.69,5.14,9693744429.0
2023-11-01,5.31,5.53,4.61,4.93,7932568883.0
2024-02-01,5.54,5.94,5.08,5.27,7863810034.0
2024-05-01,5.56,5.94,5.2,5.54,6859210145.0
2024-08-01,5.97,6.87,5.33,5.65,8789055534.0
2024-11-01,6.81,7.09,6.11,6.13,8714893627.0
2025-02-01,7.42,8.31,6.68,6.81,10926493617.0
2025-05-01,7.22,7.79,7.01,7.42,6376712410.0
2025-08-01,6.53,7.5,6.41,7.28,8142314087.0
2025-11-01,6.3,6.98,6.22,6.7,4793308195.0
